<org.springframework.web.servlet.config.annotation.DelegatingWebMvcConfiguration: void configurePathMatch(org.springframework.web.servlet.config.annotation.PathMatchConfigurer)>-><org.springframework.web.servlet.config.annotation.WebMvcConfigurerComposite: void configurePathMatch(org.springframework.web.servlet.config.annotation.PathMatchConfigurer)>
<sun.net.www.MeteredStream: int available()>-><java.io.ByteArrayInputStream: int available()>
<org.springframework.web.util.pattern.WildcardTheRestPathElement: java.lang.String toString()>-><java.lang.StringBuilder: void <init>()>
<sun.security.util.HostnameChecker: boolean matchWildCards(java.lang.String,java.lang.String)>-><java.lang.String: int length()>
<org.javaboy.vhr.VhrApplication: org.springframework.boot.autoconfigure.mongo.MongoProperties getMongoPropertiesInstance()>-><org.springframework.boot.autoconfigure.mongo.MongoProperties: void setDatabase(java.lang.String)>
<java.util.concurrent.ConcurrentHashMap: java.lang.Object get(java.lang.Object)>-><org.springframework.security.web.header.Header: boolean equals(java.lang.Object)>
<org.springframework.boot.autoconfigure.r2dbc.ConnectionFactoryBuilder: org.springframework.boot.autoconfigure.r2dbc.ConnectionFactoryBuilder of(org.springframework.boot.autoconfigure.r2dbc.R2dbcProperties,java.util.function.Supplier)>-><org.springframework.boot.autoconfigure.r2dbc.ConnectionFactoryBuilder: void <init>(io.r2dbc.spi.ConnectionFactoryOptions$Builder)>
<org.apache.catalina.connector.OutputBuffer: void toReadMode(java.nio.Buffer)>-><java.nio.Buffer: java.nio.Buffer limit(int)>
<java.util.stream.StreamSpliterators$UnorderedSliceSpliterator$OfRef: void forEachRemaining(java.util.function.Consumer)>-><java.util.TreeMap$NavigableSubMap$SubMapKeyIterator: boolean tryAdvance(java.util.function.Consumer)>
<java.util.stream.Nodes$InternalNodeSpliterator: long estimateSize()>-><java.util.stream.Nodes$AbstractConcNode: int getChildCount()>
<sun.net.www.protocol.http.DigestAuthentication: java.lang.String getHeaderValueImpl(java.lang.String,java.lang.String)>-><sun.net.www.protocol.http.DigestAuthentication$Parameters: boolean authQop()>
<java.net.SocksSocketImpl: void <init>(java.net.Proxy)>-><java.net.InetSocketAddress: int getPort()>
<org.javaboy.vhr.VhrApplication: org.springframework.boot.autoconfigure.flyway.FlywayProperties getFlywayPropertiesInstance()>-><org.springframework.boot.autoconfigure.flyway.FlywayProperties: void setOutOfOrder(boolean)>
<java.util.stream.StreamSpliterators$UnorderedSliceSpliterator: java.util.Spliterator trySplit()>-><java.util.HashMap$ValueSpliterator: java.util.Spliterator trySplit()>
<java.util.EnumMap: boolean containsValue(java.lang.Object)>-><org.springframework.security.authentication.AnonymousAuthenticationToken: boolean equals(java.lang.Object)>
<org.springframework.boot.autoconfigure.amqp.RabbitProperties$Address: boolean access$700(org.springframework.boot.autoconfigure.amqp.RabbitProperties$Address,boolean)>-><org.springframework.boot.autoconfigure.amqp.RabbitProperties$Address: boolean determineSslEnabled(boolean)>
<org.springframework.data.redis.core.ReactiveRedisTemplate: void <init>(org.springframework.data.redis.connection.ReactiveRedisConnectionFactory,org.springframework.data.redis.serializer.RedisSerializationContext,boolean)>-><org.springframework.data.redis.core.ReactiveRedisTemplate: org.springframework.data.redis.core.ReactiveListOperations opsForList(org.springframework.data.redis.serializer.RedisSerializationContext)>
<org.springframework.boot.autoconfigure.security.oauth2.resource.reactive.ReactiveOAuth2ResourceServerJwkConfiguration$JwtConfiguration: byte[] getKeySpec(java.lang.String)>-><java.lang.String: java.lang.String replace(java.lang.CharSequence,java.lang.CharSequence)>
<org.flywaydb.core.internal.util.ClassUtils: java.lang.String getStaticFieldValue(java.lang.String,java.lang.String,java.lang.ClassLoader)>-><java.util.regex.PatternSyntaxException: java.lang.String getMessage()>
<reactor.util.context.Context3: boolean hasKey(java.lang.Object)>-><java.util.SimpleTimeZone: boolean equals(java.lang.Object)>
<com.fasterxml.jackson.databind.util.TokenBuffer$Parser: com.fasterxml.jackson.core.JsonToken nextToken()>-><java.util.SimpleTimeZone: java.lang.String toString()>
<org.springframework.context.annotation.MBeanExportConfiguration$SpecificPlatform$1: javax.management.MBeanServer getMBeanServer()>-><org.springframework.jmx.MBeanServerNotFoundException: void <init>(java.lang.String,java.lang.Throwable)>
<org.springframework.security.config.annotation.web.configurers.DefaultLoginPageConfigurer: void init(org.springframework.security.config.annotation.web.HttpSecurityBuilder)>-><org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter: void setResolveHiddenInputs(java.util.function.Function)>
