<run.halo.app.controller.admin.api.SheetController$$InterceptorProxy: void <init>()>-><synthetic.method.SingletonFactory: run.halo.app.controller.admin.api.SheetController getSheetController()>
<run.halo.app.controller.admin.api.JournalCommentController$$InterceptorProxy: org.springframework.data.domain.Page listComments(java.lang.Integer,int,org.springframework.data.domain.Sort,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.admin.api.JournalCommentController$$SpringCGLIB: void <init>()>
<run.halo.app.controller.admin.api.BackupController$$InterceptorProxy: org.springframework.http.ResponseEntity downloadExportedData(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.resource.ResourceUrlProviderExposingInterceptor: void <init>(org.springframework.web.servlet.resource.ResourceUrlProvider)>
<run.halo.app.controller.admin.api.SheetCommentController$$InterceptorProxy: run.halo.app.model.dto.BaseCommentDTO updateBy(run.halo.app.model.params.SheetCommentParam,java.lang.Long,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.resource.ResourceUrlProviderExposingInterceptor: void <init>(org.springframework.web.servlet.resource.ResourceUrlProvider)>
<run.halo.app.controller.admin.api.ThemeController$$InterceptorProxy: void reload(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.web.servlet.resource.ResourceUrlProviderExposingInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
<run.halo.app.controller.admin.api.ThemeController$$InterceptorProxy: java.util.Map listSettingsBy(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.content.api.StatisticController$$InterceptorProxy: run.halo.app.model.dto.StatisticWithUserDTO statisticsWithUser(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><synthetic.method.SingletonFactory: org.springframework.boot.actuate.metrics.web.servlet.DefaultWebMvcTagsProvider getWebMvcTagsProvider()>
<run.halo.app.controller.admin.api.PostController$$InterceptorProxy: java.util.List pageLatest(int,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><run.halo.app.controller.admin.api.PostController$$InterceptorProxy: org.springframework.web.servlet.resource.ResourceUrlProvider getResourceUrlProviderInstance()>
<run.halo.app.controller.admin.api.MenuController$$InterceptorProxy: run.halo.app.model.dto.MenuDTO deleteBy(java.lang.Integer,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: void <init>(io.micrometer.core.instrument.MeterRegistry,org.springframework.boot.actuate.metrics.web.servlet.WebMvcTagsProvider)>
<run.halo.app.controller.admin.api.SheetCommentController$$InterceptorProxy: void <init>()>-><synthetic.method.SingletonFactory: run.halo.app.controller.admin.api.SheetCommentController getSheetCommentController()>
<run.halo.app.controller.admin.api.BackupController$$InterceptorProxy: java.util.List listMarkdowns(javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>-><org.springframework.boot.actuate.metrics.web.servlet.LongTaskTimingHandlerInterceptor: boolean preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object)>
