<org.opsli.plugins.email.service.EmailPluginImpl: cn.hutool.extra.mail.MailAccount getMailAccount(org.opsli.plugins.email.conf.EmailConfig)>-><cn.hutool.extra.mail.MailAccount: cn.hutool.extra.mail.MailAccount setAuth(boolean)>
<org.springframework.boot.convert.StringToDurationConverter: java.lang.Object convert(java.lang.Object,org.springframework.core.convert.TypeDescriptor,org.springframework.core.convert.TypeDescriptor)>-><org.opsli.api.wrapper.system.role.RoleMenuRefModel: java.lang.String toString()>
<org.springframework.expression.spel.ast.OpLT: org.springframework.expression.spel.support.BooleanTypedValue getValueInternal(org.springframework.expression.spel.ExpressionState)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateAndDetailModel: java.lang.String toString()>
<org.apache.logging.log4j.message.ParameterFormatter: void tryObjectToString(java.lang.Object,java.lang.StringBuilder)>-><org.opsli.api.wrapper.gentest.carinfo.TestCarModel: java.lang.String toString()>
<java.util.WeakHashMap: boolean eq(java.lang.Object,java.lang.Object)>-><org.opsli.api.wrapper.system.role.RoleModel: boolean equals(java.lang.Object)>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><org.opsli.plugins.redisson.properties.RedissonProperties: java.lang.String toString()>
<reactor.util.context.Context4: boolean hasKey(java.lang.Object)>-><org.opsli.core.log.bean.OperationLog: boolean equals(java.lang.Object)>
<org.opsli.api.wrapper.system.user.UserModel: boolean equals(java.lang.Object)>-><org.opsli.api.wrapper.system.user.UserModel: java.lang.String getIzTenantAdmin()>
<org.opsli.common.utils.MessUtil: java.lang.String getMes(java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.util.Map)>-><org.springframework.core.annotation.AnnotationAttributes: java.lang.String toString()>
<org.apache.commons.beanutils.ConvertUtilsBean: java.lang.Object convert(java.lang.Object,java.lang.Class)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateAndDetailModel: java.lang.String toString()>
<javax.management.openmbean.CompositeDataSupport: int hashCode()>-><org.opsli.api.wrapper.system.role.RoleMenuRefModel: int hashCode()>
<org.opsli.core.utils.SystemInfoUtil$JvmInfo: boolean equals(java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$JvmInfo: boolean canEqual(java.lang.Object)>
<javax.management.openmbean.OpenMBeanAttributeInfoSupport: int hashCode(javax.management.openmbean.OpenMBeanParameterInfo)>-><org.opsli.api.wrapper.system.logs.OperationLogModel: int hashCode()>
<org.springframework.util.ObjectUtils: int nullSafeHashCode(java.lang.Object)>-><org.opsli.modulars.generator.template.wrapper.GenTemplateModel: int hashCode()>
<java.util.HashMap: java.util.HashMap$Node removeNode(int,java.lang.Object,java.lang.Object,boolean,boolean)>-><org.opsli.api.wrapper.system.logs.OperationLogModel: boolean equals(java.lang.Object)>
<java.util.AbstractMap$SimpleImmutableEntry: int hashCode()>-><org.opsli.modulars.generator.template.wrapper.GenTemplateAndDetailModel: int hashCode()>
<cn.hutool.core.util.ArrayUtil: java.lang.String toString(java.lang.Object)>-><org.opsli.api.wrapper.system.options.OptionsModel: java.lang.String toString()>
<org.opsli.core.log.aspect.OperateLogAspect$1: void <clinit>()>-><java.lang.Enum: int ordinal()>
<com.alibaba.fastjson.JSONPath$RlikeSegement: boolean apply(com.alibaba.fastjson.JSONPath,java.lang.Object,java.lang.Object,java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$MemoryInfo: java.lang.String toString()>
<net.sf.cglib.core.EmitUtils$5: java.lang.Object transform(java.lang.Object)>-><org.opsli.core.utils.SystemInfoUtil$JvmInfo: int hashCode()>
<com.alibaba.druid.mock.MockDriver: java.sql.Connection connect(java.lang.String,java.util.Properties)>-><org.opsli.api.wrapper.system.dict.DictWrapper: java.lang.String toString()>
<org.opsli.core.log.bean.OperationLog: int hashCode()>-><org.opsli.core.log.bean.OperationLog: java.lang.String getOperationType()>
