<co.yiiu.pybbs.controller.api.IndexApiController: co.yiiu.pybbs.util.Result index(java.lang.Integer,java.lang.String)>-><java.util.Collections$EmptyIterator: boolean hasNext()>
<co.yiiu.pybbs.controller.admin.IndexAdminController: java.lang.String adminlogin(java.lang.String,java.lang.String,java.lang.String,javax.servlet.http.HttpSession,java.lang.Boolean,javax.servlet.http.HttpServletRequest,org.springframework.web.servlet.mvc.support.RedirectAttributes)>-><synthetic.method.HttpSessionImpl: java.lang.Object getAttribute(java.lang.String)>
<co.yiiu.pybbs.controller.api.SettingsApiController: co.yiiu.pybbs.util.Result refreshToken(javax.servlet.http.HttpSession)>-><synthetic.method.HttpSessionImpl: void setAttribute(java.lang.String,java.lang.Object)>
<co.yiiu.pybbs.controller.api.IndexApiController: co.yiiu.pybbs.util.Result mobile_login(java.util.Map,javax.servlet.http.HttpSession)>-><synthetic.method.HttpSessionImpl: java.lang.Object getAttribute(java.lang.String)>
<co.yiiu.pybbs.controller.api.IndexApiController: co.yiiu.pybbs.util.Result index(java.lang.Integer,java.lang.String)>-><co.yiiu.pybbs.util.MyPage: java.util.List getRecords()>
<co.yiiu.pybbs.PybbsApplication: void main(java.lang.String[])>-><org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController: void <init>(org.springframework.boot.web.servlet.error.ErrorAttributes,org.springframework.boot.autoconfigure.web.ErrorProperties)>
<co.yiiu.pybbs.controller.api.SettingsApiController: co.yiiu.pybbs.util.Result updateEmail(java.util.Map,javax.servlet.http.HttpSession)>-><synthetic.method.HttpSessionImpl: void setAttribute(java.lang.String,java.lang.Object)>
<co.yiiu.pybbs.controller.front.IndexController: java.lang.String changeLanguage(java.lang.String,javax.servlet.http.HttpSession,javax.servlet.http.HttpServletRequest)>-><synthetic.method.HttpSessionImpl: void setAttribute(java.lang.String,java.lang.Object)>
<co.yiiu.pybbs.controller.admin.IndexAdminController: java.lang.String adminlogin(java.lang.String,java.lang.String,java.lang.String,javax.servlet.http.HttpSession,java.lang.Boolean,javax.servlet.http.HttpServletRequest,org.springframework.web.servlet.mvc.support.RedirectAttributes)>-><java.lang.Throwable: java.lang.String getMessage()>
<co.yiiu.pybbs.controller.api.IndexApiController: co.yiiu.pybbs.util.Result doUserStorage(javax.servlet.http.HttpSession,co.yiiu.pybbs.model.User)>-><synthetic.method.HttpSessionImpl: void removeAttribute(java.lang.String)>
<co.yiiu.pybbs.controller.front.CommonController: void captcha(javax.servlet.http.HttpServletResponse,javax.servlet.http.HttpSession)>-><synthetic.method.HttpSessionImpl: void setAttribute(java.lang.String,java.lang.Object)>
<co.yiiu.pybbs.controller.api.IndexApiController: co.yiiu.pybbs.util.Result sms_code(java.lang.String,java.lang.String,javax.servlet.http.HttpSession)>-><synthetic.method.HttpSessionImpl: java.lang.Object getAttribute(java.lang.String)>
<co.yiiu.pybbs.controller.api.SettingsApiController: co.yiiu.pybbs.util.Result update(java.util.Map,javax.servlet.http.HttpSession)>-><synthetic.method.HttpSessionImpl: void setAttribute(java.lang.String,java.lang.Object)>
<co.yiiu.pybbs.controller.api.CommentApiController: co.yiiu.pybbs.util.Result create(java.util.Map)>-><java.util.HashMap: java.lang.Object get(java.lang.Object)>
<co.yiiu.pybbs.controller.api.IndexApiController: co.yiiu.pybbs.util.Result upload(org.springframework.web.multipart.MultipartFile[],java.lang.String,javax.servlet.http.HttpSession)>-><synthetic.method.HttpSessionImpl: void setAttribute(java.lang.String,java.lang.Object)>
<co.yiiu.pybbs.controller.api.IndexApiController: co.yiiu.pybbs.util.Result index(java.lang.Integer,java.lang.String)>-><java.util.Collections$EmptyIterator: java.lang.Object next()>
<co.yiiu.pybbs.controller.api.IndexApiController: co.yiiu.pybbs.util.Result login(java.util.Map,javax.servlet.http.HttpSession)>-><synthetic.method.HttpSessionImpl: java.lang.Object getAttribute(java.lang.String)>
<co.yiiu.pybbs.controller.api.IndexApiController: co.yiiu.pybbs.util.Result doUserStorage(javax.servlet.http.HttpSession,co.yiiu.pybbs.model.User)>-><synthetic.method.HttpSessionImpl: void setAttribute(java.lang.String,java.lang.Object)>
<co.yiiu.pybbs.controller.api.SettingsApiController: co.yiiu.pybbs.util.Result update(java.util.Map,javax.servlet.http.HttpSession)>-><java.util.HashMap: java.lang.Object get(java.lang.Object)>
<co.yiiu.pybbs.controller.front.OAuthController: java.lang.String callback(java.lang.String,me.zhyd.oauth.model.AuthCallback,javax.servlet.http.HttpSession)>-><synthetic.method.HttpSessionImpl: void setAttribute(java.lang.String,java.lang.Object)>
<co.yiiu.pybbs.controller.api.IndexApiController: co.yiiu.pybbs.util.Result register(java.util.Map,javax.servlet.http.HttpSession)>-><synthetic.method.HttpSessionImpl: java.lang.Object getAttribute(java.lang.String)>
<co.yiiu.pybbs.controller.api.IndexApiController: co.yiiu.pybbs.util.Result index(java.lang.Integer,java.lang.String)>-><java.util.Collections$EmptyList: java.util.Iterator iterator()>
<co.yiiu.pybbs.controller.front.IndexController: java.lang.String logout(javax.servlet.http.HttpSession)>-><synthetic.method.HttpSessionImpl: void removeAttribute(java.lang.String)>
